"","longitude","latitude","eventDate"
"306",-119.375594,34.461135,2021-03-31
"307",-122.781758,37.920004,2021-03-30
"308",-122.150611,36.804715,2021-04-05
"309",-122.560957,37.404157,2021-04-05
"310",-121.191539,36.493619,2021-04-09
"311",-122.234406,38.189624,2021-04-10
"312",-121.512549,36.737264,2021-04-10
"313",-121.83526,37.413394,2021-04-24
"314",-121.046816,35.771045,2021-04-26
"315",-121.633189,37.283227,2021-04-28
"316",-122.455681,37.526019,2021-04-26
"317",-121.806869,37.477579,2021-04-24
"318",-122.467759,37.784186,2021-05-22
"319",-121.659793,36.897468,2021-05-05
"320",-121.704495,37.801076,2021-05-07
"321",-122.185505,36.943361,2021-05-08
"322",-122.434756,37.534564,2021-05-11
"323",-122.592353,37.490772,2021-05-13
"324",-120.773193,35.328495,2021-05-13
"325",-121.631751,36.928228,2021-05-07
"326",-122.526662,37.646018,2021-05-17
"327",-122.363929,37.260406,2021-05-18
"328",-122.2659,37.375313,2021-05-18
"329",-122.276123,37.287931,2021-05-18
"330",-121.654666,37.766869,2021-05-23
"331",-121.660739,37.56671,2021-05-22
"332",-121.776686,37.41316,2021-05-22
"333",-121.727581,37.498249,2021-05-22
"334",-122.475582,38.254277,2021-05-24
"335",-122.583536,38.236747,2021-06-05
"336",-122.952505,38.13153,2021-06-05
"337",-121.632752,37.067477,2021-06-10
"338",-121.870098,37.988803,2021-06-15
"339",-122.669643,38.223535,2021-06-18
"340",-122.474441,37.465608,2021-06-19
"341",-115.48433,30.830517,2021-06-15
"342",-122.916239,38.170522,2021-06-20
"343",-115.535284,30.852385,2021-06-15
"344",-115.506656,30.846106,2021-06-16
"345",-121.769117,36.943578,2021-06-22
"346",-121.001929,36.736542,2021-06-25
"347",-122.48465,37.959616,2021-07-02
"348",-122.46841,37.525965,2021-07-03
"349",-122.185271,36.894835,2021-07-07
"350",-120.151243,34.551552,2021-07-09
"351",-122.071018,36.839515,2021-07-07
"352",-122.492235,37.492487,2021-07-18
"353",-122.41867,37.545212,2021-07-18
"354",-122.518365,37.433289,2021-07-17
"355",-122.161382,36.883497,2021-07-20
"356",-122.387325,37.388985,2021-07-23
"357",-122.093345,36.842637,2021-07-06
"358",-122.082918,36.944904,2021-07-06
"359",-123.091041,38.236654,2021-08-07
"360",-122.405091,37.436537,2021-08-15
"361",-122.516121,37.445344,2021-08-15
"362",-122.587409,37.934095,2021-08-17
"363",-122.539328,37.709205,2021-08-22
"364",-121.864207,36.376235,2021-08-23
"365",-121.136048,36.588198,2021-08-23
"366",-121.112147,36.464043,2021-09-26
"367",-121.998031,36.464253,2021-09-01
"368",-121.987593,36.569308,2021-09-02
"369",-121.900311,36.422919,2021-09-02
"370",-117.275969,33.481453,2021-09-02
"371",-122.572139,37.975771,2021-09-05
"372",-123.560229,38.783241,2021-09-12
"373",-123.419717,38.633297,2021-09-12
"374",-123.567991,38.61388,2021-09-12
